year,year_ending,police_region,lga_name,incidents,rate_per_100k
2016,December,1 North West Metro,MELTON,9064,6409.277329939
2016,December,1 North West Metro,MOONEE VALLEY,7772,6325.333072898
2016,December,1 North West Metro,NILLUMBIK,2276,3546.607660423
2016,December,1 North West Metro,WHITTLESEA,13070,6312.241014595
2016,December,1 North West Metro,WYNDHAM,12371,5449.587679729
2016,December,1 North West Metro,YARRA,11287,12150.407991905
2016,December,2 Eastern,BOROONDARA,7076,3991.516054063
2016,December,2 Eastern,KNOX,9160,5712.397024066
2016,December,2 Eastern,MANNINGHAM,3954,3225.911723913
2016,December,2 Eastern,MAROONDAH,6777,5903.31010453
2016,December,2 Eastern,MONASH,8944,4643.218689163
2016,December,2 Eastern,WHITEHORSE,6346,3740.840952364
2016,December,2 Eastern,YARRA RANGES,6445,4152.010616778
2016,December,3 Southern Metro,BAYSIDE,4190,4071.439676617
2016,December,3 Southern Metro,CARDINIA,5378,5511.770674264
2016,December,3 Southern Metro,CASEY,18214,5823.094801927
2016,December,3 Southern Metro,FRANKSTON,12483,8948.258806325
2016,December,3 Southern Metro,GLEN EIRA,5644,3798.550305217
2016,December,3 Southern Metro,GREATER DANDENONG,15459,9648.487723284
2016,December,3 Southern Metro,MORNINGTON PENINSULA,9117,5644.222673468
2016,December,3 Southern Metro,PORT PHILLIP,10483,9650.455227522
2016,December,3 Southern Metro,STONNINGTON,9195,8283.559903786
2015,December,1 North West Metro,BANYULE,6850,5432.713660301
2015,December,1 North West Metro,BRIMBANK,14806,7371.3033954
2015,December,1 North West Metro,DAREBIN,11477,7551.949675602
2015,December,1 North West Metro,HOBSONS BAY,5366,5853.349913825
2015,December,1 North West Metro,HUME,14867,7501.917487486
2015,December,1 North West Metro,MARIBYRNONG,6908,8147.859830391
2015,December,1 North West Metro,MELBOURNE,24857,18160.763340932
2015,December,1 North West Metro,MELTON,8373,6206.12978542
2015,December,1 North West Metro,MOONEE VALLEY,6976,5802.164167311
2015,December,1 North West Metro,NILLUMBIK,1944,3053.003533569
